name,regime,start,end,cagr,return,max_drawdown,daily_arithmetic_mean_excess_vs_spy
ABS12_BIL_10bps,2021,2021-01-04,2021-12-31,0.2851540647,0.2851540647,-0.05112956347,0
ABS12_BIL_10bps,inflation2022,2022-01-03,2022-12-30,-0.1246730831,-0.1242104345,-0.1818237519,0.05080740059
ABS12_BIL_10bps,2023_2025,2023-01-03,2025-12-31,0.1993042888,0.7200271925,-0.1870595745,-0.02631522592
ABS12_BIL_10bps,2026_YTD,2026-01-02,2026-07-31,0.181122551,0.1005208916,-0.08882821034,0
SMA10_BIL_10bps,2016_2019,2016-01-04,2019-12-31,0.06643817372,0.2927692644,-0.2108736757,-0.07453234338
SMA10_BIL_10bps,covid2020,2020-01-02,2020-12-31,0.1861315941,0.1869353163,-0.1267280089,-0.04063913807
SMA10_BIL_10bps,2021,2021-01-04,2021-12-31,0.2851540647,0.2851540647,-0.05112956347,0
SMA10_BIL_10bps,inflation2022,2022-01-03,2022-12-30,-0.2172710904,-0.2165098307,-0.2329503796,-0.06580682791
SMA10_BIL_10bps,2023_2025,2023-01-03,2025-12-31,0.1463772239,0.5032836698,-0.1002736783,-0.07429353871
SMA10_BIL_10bps,2026_YTD,2026-01-02,2026-07-31,-0.000469967443,-0.0002704447616,-0.08882821034,-0.1682592039
SPY_BIL_20bps,2016_2019,2016-01-04,2019-12-31,0.1467510528,0.7274465272,-0.1928663299,-0.0004999940477
SPY_BIL_20bps,covid2020,2020-01-02,2020-12-31,0.1814134304,0.1821952575,-0.3368469246,0
SPY_BIL_20bps,2021,2021-01-04,2021-12-31,0.2851540647,0.2851540647,-0.05112956347,0
SPY_BIL_20bps,inflation2022,2022-01-03,2022-12-30,-0.1820460037,-0.1813934928,-0.2447419456,0
SPY_BIL_20bps,2023_2025,2023-01-03,2025-12-31,0.2296570958,0.8532197403,-0.1870595745,0
SPY_BIL_20bps,2026_YTD,2026-01-02,2026-07-31,0.181122551,0.1005208916,-0.08882821034,0
DEFENSIVE_BIL_20bps,2016_2019,2016-01-04,2019-12-31,0.01089923932,0.04422506834,-0.002116339492,-0.1348230054
DEFENSIVE_BIL_20bps,covid2020,2020-01-02,2020-12-31,0.003914172029,0.003929734937,-0.0004044814994,-0.2219387397
DEFENSIVE_BIL_20bps,2021,2021-01-04,2021-12-31,-0.0009775058699,-0.0009775058699,-0.0009775058699,-0.2604794629
DEFENSIVE_BIL_20bps,inflation2022,2022-01-03,2022-12-30,0.01364522584,0.01359071182,-0.000291761423,0.185494725
DEFENSIVE_BIL_20bps,2023_2025,2023-01-03,2025-12-31,0.04793658371,0.1499586597,-0.0002869999127,-0.1712140436
