,SPY_BIL_0bps,DEFENSIVE_BIL_0bps,STATIC80_BIL_0bps,STATIC70_BIL_0bps,ABS12_BIL_0bps,SMA10_BIL_0bps,SPY_BIL_10bps,DEFENSIVE_BIL_10bps,STATIC80_BIL_10bps,STATIC70_BIL_10bps,ABS12_BIL_10bps,SMA10_BIL_10bps,SPY_BIL_20bps,DEFENSIVE_BIL_20bps,STATIC80_BIL_20bps,STATIC70_BIL_20bps,ABS12_BIL_20bps,SMA10_BIL_20bps,SPY_ZERO_CASH_0bps,DEFENSIVE_ZERO_CASH_0bps,STATIC80_ZERO_CASH_0bps,STATIC70_ZERO_CASH_0bps,ABS12_ZERO_CASH_0bps,SMA10_ZERO_CASH_0bps,SPY_ZERO_CASH_10bps,DEFENSIVE_ZERO_CASH_10bps,STATIC80_ZERO_CASH_10bps,STATIC70_ZERO_CASH_10bps,ABS12_ZERO_CASH_10bps,SMA10_ZERO_CASH_10bps,SPY_ZERO_CASH_20bps,DEFENSIVE_ZERO_CASH_20bps,STATIC80_ZERO_CASH_20bps,STATIC70_ZERO_CASH_20bps,ABS12_ZERO_CASH_20bps,SMA10_ZERO_CASH_20bps
2019-12-27,3.91400046991e-05,0.00013336510376,5.73920889801e-05,6.66262336986e-05,3.91400046991e-05,3.91400046991e-05,3.91400046991e-05,0.00013336510376,5.73920889801e-05,6.66262336986e-05,3.91400046991e-05,3.91400046991e-05,3.91400046991e-05,0.00013336510376,5.73920889801e-05,6.66262336986e-05,3.91400046991e-05,3.91400046991e-05,3.91400046991e-05,0,3.15640982591e-05,2.77302146454e-05,3.91400046991e-05,3.91400046991e-05,3.91400046991e-05,0,3.15640982591e-05,2.77302146454e-05,3.91400046991e-05,3.91400046991e-05,3.91400046991e-05,0,3.15640982591e-05,2.77302146454e-05,3.91400046991e-05,3.91400046991e-05
2019-12-30,-0.00562737825399,5.34235645362e-05,-0.00452688219156,-0.00397013149691,-0.00562737825399,-0.00562737825399,-0.00562737825399,5.34235645362e-05,-0.00452688219156,-0.00397013149691,-0.00562737825399,-0.00562737825399,-0.00562737825399,5.34235645362e-05,-0.00452688219156,-0.00397013149691,-0.00562737825399,-0.00562737825399,-0.00562737825399,0,-0.00453818202448,-0.00398697415864,-0.00562737825399,-0.00562737825399,-0.00562737825399,0,-0.00453818202448,-0.00398697415864,-0.00562737825399,-0.00562737825399,-0.00562737825399,0,-0.00453818202448,-0.00398697415864,-0.00562737825399,-0.00562737825399
2019-12-31,0.00300477496923,8.57422092055e-05,0.00243669236877,0.00214977254296,0.00300477496923,0.00300477496923,0.00300477496923,8.57422092055e-05,0.00243669236877,0.00214977254296,0.00300477496923,0.00300477496923,0.00300477496923,8.57422092055e-05,0.00243669236877,0.00214977254296,0.00300477496923,0.00300477496923,0.00300477496923,0,0.0024205402432,0.00212536441905,0.00300477496923,0.00300477496923,0.00300477496923,0,0.0024205402432,0.00212536441905,0.00300477496923,0.00300477496923,0.00300477496923,0,0.0024205402432,0.00212536441905,0.00300477496923,0.00300477496923
2020-01-02,0.00846150928323,2.69486784239e-05,0.00682388125525,0.00599606356714,0.00846150928323,0.00846150928323,0.00846150928323,2.69486784239e-05,0.00680946729237,0.00597707969799,0.00846150928323,0.00846150928323,0.00846150928323,2.69486784239e-05,0.00679503601196,0.00595808062959,0.00846150928323,0.00846150928323,0.00846150928323,0,0.0068202647496,0.00599032291606,0.00846150928323,0.00846150928323,0.00846150928323,0,0.00681286070534,0.00598056929668,0.00846150928323,0.00846150928323,0.00846150928323,0,0.00680544479563,0.00597080200309,0.00846150928323,0.00846150928323
2020-01-03,-0.00693561449463,0.000134980368039,-0.0055214955221,-0.00481443603583,-0.00693561449463,-0.00693561449463,-0.00693561449463,0.000134980368039,-0.0055214955221,-0.00481443603583,-0.00693561449463,-0.00693561449463,-0.00693561449463,0.000134980368039,-0.0055214955221,-0.00481443603583,-0.00693561449463,-0.00693561449463,-0.00693561449463,0,-0.00554849159571,-0.00485493014624,-0.00693561449463,-0.00693561449463,-0.00693561449463,0,-0.00554849159571,-0.00485493014624,-0.00693561449463,-0.00693561449463,-0.00693561449463,0,-0.00554849159571,-0.00485493014624,-0.00693561449463,-0.00693561449463
2020-01-06,0.00351571506702,2.50743972403e-05,0.00281361606296,0.00246331480194,0.00351571506702,0.00351571506702,0.00351571506702,2.50743972403e-05,0.00281361606296,0.00246331480194,0.00351571506702,0.00351571506702,0.00351571506702,2.50743972403e-05,0.00281361606296,0.00246331480194,0.00351571506702,0.00351571506702,0.00351571506702,0,0.00280864890295,0.00245585500032,0.00351571506702,0.00351571506702,0.00351571506702,0,0.00280864890295,0.00245585500032,0.00351571506702,0.00351571506702,0.00351571506702,0,0.00280864890295,0.00245585500032,0.00351571506702,0.00351571506702
2020-01-07,-0.00269322313933,4.00764771296e-05,-0.00214498263234,-0.00187115948778,-0.00269322313933,-0.00269322313933,-0.00269322313933,4.00764771296e-05,-0.00214498263234,-0.00187115948778,-0.00269322313933,-0.00269322313933,-0.00269322313933,4.00764771296e-05,-0.00214498263234,-0.00187115948778,-0.00269322313933,-0.00269322313933,-0.00269322313933,0,-0.00215309021491,-0.00188330348274,-0.00269322313933,-0.00269322313933,-0.00269322313933,0,-0.00215309021491,-0.00188330348274,-0.00269322313933,-0.00269322313933,-0.00269322313933,0,-0.00215309021491,-0.00188330348274,-0.00269322313933,-0.00269322313933
2020-01-08,0.00490741947444,4.03482330267e-05,0.00392905304468,0.00344080249457,0.00490741947444,0.00490741947444,0.00490741947444,4.03482330267e-05,0.00392905304468,0.00344080249457,0.00490741947444,0.00490741947444,0.00490741947444,4.03482330267e-05,0.00392905304468,0.00344080249457,0.00490741947444,0.00490741947444,0.00490741947444,0,0.00392110006581,0.00342885092643,0.00490741947444,0.00490741947444,0.00490741947444,0,0.00392110006581,0.00342885092643,0.00490741947444,0.00490741947444,0.00490741947444,0,0.00392110006581,0.00342885092643,0.00490741947444,0.00490741947444
2020-01-09,0.00688573446242,3.17633842466e-05,0.00551330318542,0.00482739481664,0.00688573446242,0.00688573446242,0.00688573446242,3.17633842466e-05,0.00551330318542,0.00482739481664,0.00688573446242,0.00688573446242,0.00688573446242,3.17633842466e-05,0.00551330318542,0.00482739481664,0.00688573446242,0.00688573446242,0.00688573446242,0,0.00550720806831,0.00481820375449,0.00688573446242,0.00688573446242,0.00688573446242,0,0.00550720806831,0.00481820375449,0.00688573446242,0.00688573446242,0.00688573446242,0,0.00550720806831,0.00481820375449,0.00688573446242,0.00688573446242
2020-01-10,-0.00284909048557,0.000113043441897,-0.0022591896607,-0.00196376739855,-0.00284909048557,-0.00284909048557,-0.00284909048557,0.000113043441897,-0.0022591896607,-0.00196376739855,-0.00284909048557,-0.00284909048557,-0.00284909048557,0.000113043441897,-0.0022591896607,-0.00196376739855,-0.00284909048557,-0.00284909048557,-0.00284909048557,0,-0.00228182564157,-0.00199771636265,-0.00284909048557,-0.00284909048557,-0.00284909048557,0,-0.00228182564157,-0.00199771636265,-0.00284909048557,-0.00284909048557,-0.00284909048557,0,-0.00228182564157,-0.00199771636265,-0.00284909048557,-0.00284909048557
2020-01-13,0.00693882454651,2.01594491807e-05,0.00555771547851,0.00486666977014,0.00693882454651,0.00693882454651,0.00693882454651,2.01594491807e-05,0.00555771547851,0.00486666977014,0.00693882454651,0.00693882454651,0.00693882454651,2.01594491807e-05,0.00555771547851,0.00486666977014,0.00693882454651,0.00693882454651,0.00693882454651,0,0.00555411830569,0.00486119279125,0.00693882454651,0.00693882454651,0.00693882454651,0,0.00555411830569,0.00486119279125,0.00693882454651,0.00693882454651,0.00693882454651,0,0.00555411830569,0.00486119279125,0.00693882454651,0.00693882454651
2020-01-14,-0.00141517168698,3.31028100495e-05,-0.00112765814592,-0.00098350247031,-0.00141517168698,-0.00141517168698,-0.00141517168698,3.31028100495e-05,-0.00112765814592,-0.00098350247031,-0.00141517168698,-0.00141517168698,-0.00141517168698,3.31028100495e-05,-0.00112765814592,-0.00098350247031,-0.00141517168698,-0.00141517168698,-0.00141517168698,0,-0.00113432104204,-0.000993489043992,-0.00141517168698,-0.00141517168698,-0.00141517168698,0,-0.00113432104204,-0.000993489043992,-0.00141517168698,-0.00141517168698,-0.00141517168698,0,-0.00113432104204,-0.000993489043992,-0.00141517168698,-0.00141517168698
