,market,sma10,sma10_static,absolute12,absolute12_static
1971-10-31,-0.040579995,-0.040579995,-0.0296166202,-0.040579995,-0.03176852467
1971-11-30,-0.0009832965178,-0.00148280487,0.0001762504753,-0.0009832965178,-5.134681125e-05
1971-12-31,0.09070905831,0.0037,0.06915009403,0.09070905831,0.07338087129
1972-01-31,0.02751432739,0.0023988006,0.02141542901,0.02751432739,0.02261228987
1972-02-29,0.03111402726,0.03111402726,0.02402408968,0.03111402726,0.0254154342
1972-03-31,0.008815886441,0.008815886441,0.007300501952,0.008815886441,0.007597884246
1972-04-30,0.005716144893,0.005716144893,0.005018365048,0.005716144893,0.005155298858
1972-05-31,0.01581530284,0.01581530284,0.01263994775,0.01581530284,0.01326308623
1972-06-30,-0.0214815874,-0.0214815874,-0.01544490016,-0.0214815874,-0.01662978843
1972-07-31,-0.004982963032,-0.004982963032,-0.002981685632,-0.004982963032,-0.003374498781
1972-08-31,0.03551366042,0.03551366042,0.02743270019,0.03551366042,0.02901852511
1972-09-30,-0.00808270458,-0.00808270458,-0.005239678195,-0.00808270458,-0.005797710853
1972-10-31,0.00911586143,0.00911586143,0.007848261527,0.00911586143,0.008097018043
1972-11-30,0.04961248488,0.04961248488,0.03823636335,0.04961248488,0.04046883777
1972-12-31,0.009815803069,0.009815803069,0.008300439238,0.009815803069,0.008597817478
1973-01-31,-0.02838101214,-0.02838101214,-0.02026469409,-0.02838101214,-0.02185777481
1973-02-28,-0.04437967819,-0.04437967819,-0.032351736,-0.04437967819,-0.03471259505
1973-03-31,-0.008482671231,-0.008978429896,-0.005243505821,-0.008482671231,-0.005879293126
1973-04-30,-0.05167906958,0.0052,-0.03759626405,-0.05167906958,-0.04036045416
1973-05-31,-0.02468132061,0.0051,-0.01730770234,-0.02516897995,-0.01875500506
1973-06-30,-0.01068248781,0.0051,-0.006774869277,0.0051,-0.00754186137
1973-07-31,0.05671189294,0.0064,0.04424569317,0.0064,0.04669208688
1973-08-31,-0.03128077036,0.007,-0.02180275589,0.007,-0.02366311204
1973-09-30,0.05411210971,0.0068,0.04238919139,0.0068,0.04468972196
1973-10-31,-0.001883221483,0.005997001499,0.0001923975227,0.0065,-0.0002150074868
1973-11-30,-0.1222731835,-0.1222731835,-0.09061279969,0.0056,-0.09682713813
1973-12-31,0.01221560298,0.01170949518,0.01077462224,0.0064,0.01105740338
1974-01-31,0.004616236602,0.0063,0.005033123036,0.0063,0.004951296062
1974-02-28,0.001116528402,0.0058,0.002276118744,0.0058,0.002048512948
1974-03-31,-0.02268148736,0.0056,-0.01567921588,0.0056,-0.01705363019
1974-04-30,-0.04537959482,0.0075,-0.03228702745,0.0075,-0.03485685241
1974-05-31,-0.03958007838,0.0075,-0.02792342518,0.0075,-0.03021140717
1974-06-30,-0.02248150403,0.006,-0.01542971001,0.006,-0.01681384467
1974-07-31,-0.07367723541,0.007,-0.05370219317,0.007,-0.05762291863
1974-08-31,-0.08797604319,0.006,-0.06470832186,0.006,-0.06927533835
1974-09-30,-0.1098742174,0.0081,-0.08066473884,0.0081,-0.08639801062
1974-10-31,0.1661027721,0.0051,0.1262097646,0.0051,0.1340384537
1974-11-30,-0.03998004503,0.0054,-0.02874430658,0.0054,-0.03094967091
1974-12-31,-0.02748108717,0.007,-0.01894384406,0.007,-0.02061954446
1975-01-31,0.142404748,0.0058,0.1085570436,0.0058,0.1151993895
1975-02-28,0.05981163449,0.00379810095,0.04605705113,0.0043,0.04875628
1975-03-31,0.03061406894,0.03061406894,0.02404445566,0.0041,0.02533369062
1975-04-30,0.04651274333,0.04651274333,0.03607811564,0.0044,0.0381258293
