name,family,dataset,scenario,benchmark,parameter,timing,data_quality,tradable_holdings_known,period,start,end,observations,cagr,annualized_volatility,sharpe,sortino,max_drawdown,calmar,beta,correlation,excess_cagr,annualized_mean_excess_vs_benchmark,monthly_positive_rate,worst_year,worst_year_return,best_year,best_year_return,annual_traded_notional,annual_one_way_equivalent_turnover,annual_transaction_cost_fraction,mean_invested_fraction,mean_holdings,completed_holding_spells,censored_open_spells,left_censored_spells,mean_completed_holding_months,assumed_annual_internal_drag
joint_value_quality_drag0.005,academic long leg,"French portfolio, not ETF",base,"French market, not SPY",joint_value_quality,provider PIT convention; revised vintage,EXPLORATORY,False,2010_2019,2010-01-31,2019-12-31,120,0.054035988,0.20894792,0.33135269,0.49608363,-0.52336896,0.10324645,1.3160998,0.81573745,-0.080834896,-0.061132644,0.575,2015,-0.34490661,2013,0.38847171,,,,1,,,,,,0.005
joint_value_quality_drag0.005,academic long leg,"French portfolio, not ETF",base,"French market, not SPY",joint_value_quality,provider PIT convention; revised vintage,EXPLORATORY,False,2020_onward,2020-01-31,2026-07-31,79,0.1515242,0.24784789,0.58687983,0.90416989,-0.36361539,0.4167156,1.0452509,0.74209422,0.002516399,0.017970118,0.59493671,2022,-0.11453677,2021,0.41957209,,,,1,,,,,,0.005
joint_value_quality_drag0.005,academic long leg,"French portfolio, not ETF",base,"French market, not SPY",joint_value_quality,provider PIT convention; revised vintage,EXPLORATORY,False,dotcom,2000-01-31,2002-12-31,36,0.076100768,0.23706247,0.27216946,0.38940141,-0.29048305,0.26198006,0.77275983,0.63729755,0.22466406,0.24257031,0.66666667,2002,-0.043989591,2000,0.18928359,,,,1,,,,,,0.005
joint_value_quality_drag0.005,academic long leg,"French portfolio, not ETF",base,"French market, not SPY",joint_value_quality,provider PIT convention; revised vintage,EXPLORATORY,False,gfc,2008-01-31,2008-12-31,12,-0.33566071,0.33288475,-1.0833904,-1.1418732,-0.41262557,-0.81347532,1.3488087,0.88408583,0.031533509,0.081548733,0.41666667,2008,-0.33566071,2008,-0.33566071,,,,1,,,,,,0.005
joint_value_quality_drag0.005,academic long leg,"French portfolio, not ETF",base,"French market, not SPY",joint_value_quality,provider PIT convention; revised vintage,EXPLORATORY,False,rebound2009,2009-01-31,2009-12-31,12,0.69897095,0.3642013,1.6506035,3.3988148,-0.21180707,3.3000359,1.5450524,0.94034504,0.4139784,0.32571901,0.66666667,2009,0.69897095,2009,0.69897095,,,,1,,,,,,0.005
joint_value_quality_drag0.005,academic long leg,"French portfolio, not ETF",base,"French market, not SPY",joint_value_quality,provider PIT convention; revised vintage,EXPLORATORY,False,covid2020,2020-01-31,2020-12-31,12,0.0025217412,0.41132771,0.19639942,0.27757274,-0.36361539,0.0069351882,1.3655368,0.91508674,-0.23689953,-0.16594157,0.66666667,2020,0.0025217412,2020,0.0025217412,,,,1,,,,,,0.005
joint_value_quality_drag0.005,academic long leg,"French portfolio, not ETF",base,"French market, not SPY",joint_value_quality,provider PIT convention; revised vintage,EXPLORATORY,False,inflation2022,2022-01-31,2022-12-31,12,-0.11453677,0.31564407,-0.28275437,-0.39715516,-0.20121513,-0.56922544,1.2309581,0.90434322,0.085431999,0.1211055,0.41666667,2022,-0.11453677,2022,-0.11453677,,,,1,,,,,,0.005
joint_value_quality_drag0.005,academic long leg,"French portfolio, not ETF",base,"French market, not SPY",joint_value_quality,provider PIT convention; revised vintage,EXPLORATORY,False,2023_2025,2023-01-31,2025-12-31,36,0.20270854,0.18578229,0.83753566,1.5142295,-0.20715536,0.97853393,0.9557476,0.64998289,-0.026241596,-0.013038278,0.55555556,2023,0.13569435,2025,0.25302726,,,,1,,,,,,0.005
SPY_sma210_rf_5bps,ETF trend,actual ETF snapshot,5bps_rf,SPY,sma/210,next session close,EXPLORATORY,True,full,2001-01-03,2015-12-31,3772,0.087335916,0.11365201,0.66760999,0.93474189,-0.17308099,0.50459567,0.32511793,0.57013345,0.036278307,0.020565216,0.64444444,2015,-0.082941749,2013,0.32307759,0.73468833,0.36734417,0.00036555502,0.69538706,0.69538706,5,1,0,24.580952,
SPY_sma210_rf_5bps,ETF trend,actual ETF snapshot,5bps_rf,SPY,sma/210,next session close,EXPLORATORY,True,2000_2007,2001-01-03,2007-12-31,1757,0.08350224,0.10182313,0.56310026,0.79008133,-0.099245901,0.84136714,0.35630571,0.59707942,0.047833311,0.035797676,0.75,2002,-0.025849272,2003,0.22507222,0.43013553,0.21506776,0.00021595256,0.68184405,0.68184405,1,1,0,1.047619,
SPY_sma210_rf_5bps,ETF trend,actual ETF snapshot,5bps_rf,SPY,sma/210,next session close,EXPLORATORY,True,2008_2009,2008-01-02,2009-12-31,505,0.10895365,0.084326033,1.1562517,1.7532514,-0.056744723,1.9200667,0.05930801,0.24427134,0.21510689,0.159028,0.54166667,2008,0.0095510837,2009,0.21864362,0.99777042,0.49888521,0.00049670089,0.25346535,0.25346535,0,1,0,,
SPY_sma210_rf_5bps,ETF trend,actual ETF snapshot,5bps_rf,SPY,sma/210,next session close,EXPLORATORY,True,2010_2019,2010-01-04,2015-12-31,1510,0.084649055,0.13356122,0.67543126,0.93552346,-0.17308099,0.48907195,0.71347974,0.84412907,-0.044138053,-0.043465999,0.55555556,2015,-0.082941749,2013,0.32307759,1.0010743,0.50053715,0.00049576882,0.8589404,0.8589404,2,1,1,27.452381,
SPY_sma210_rf_5bps,ETF trend,actual ETF snapshot,5bps_rf,SPY,sma/210,next session close,EXPLORATORY,True,dotcom,2001-01-03,2002-12-31,499,0.0051174836,0.036481629,-0.69363168,-0.87554776,-0.067667986,0.075626363,0.022199624,0.14851622,0.16711997,0.15290211,0.95833333,2002,-0.025849272,2002,-0.025849272,1.0097677,0.50488383,0.00050799925,0.044088176,0.044088176,1,0,0,1.047619,
SPY_sma210_rf_5bps,ETF trend,actual ETF snapshot,5bps_rf,SPY,sma/210,next session close,EXPLORATORY,True,gfc,2008-01-02,2008-12-31,253,0.0095131534,0.0093320237,-0.99802176,-0.99802176,-0.0092502503,1.0284212,0.00040052181,0.01990253,0.37631593,0.38162042,0.66666667,2008,0.0095510837,2008,0.0095510837,0.99604743,0.49802371,0.0004936637,0,0,0,0,0,,
SPY_sma210_rf_5bps,ETF trend,actual ETF snapshot,5bps_rf,SPY,sma/210,next session close,EXPLORATORY,True,rebound2009,2009-01-02,2009-12-31,252,0.21864362,0.11880584,1.7242133,2.6191559,-0.056744723,3.8531094,0.19821038,0.44434124,-0.044873933,-0.064447733,0.41666667,2009,0.21864362,2009,0.21864362,0.99950025,0.49975012,0.00049975013,0.50793651,0.50793651,0,1,0,,
SPY_absolute252_rf_5bps,ETF trend,actual ETF snapshot,5bps_rf,SPY,absolute/252,next session close,EXPLORATORY,True,full,2001-01-03,2015-12-31,3772,0.080629351,0.12218302,0.57859104,0.81067882,-0.1860547,0.43336369,0.3757618,0.61297445,0.029571742,0.015381885,0.64444444,2015,-0.076443567,2013,0.32307759,0.46752287,0.23376143,0.00023479813,0.71765642,0.71765642,3,1,0,42.301587,
SPY_absolute252_rf_5bps,ETF trend,actual ETF snapshot,5bps_rf,SPY,absolute/252,next session close,EXPLORATORY,True,2000_2007,2001-01-03,2007-12-31,1757,0.072176146,0.098955926,0.47035784,0.65493947,-0.099245901,0.72724562,0.33631762,0.57997243,0.036507218,0.024998933,0.72619048,2002,-0.025849272,2006,0.15845238,0.43013553,0.21506776,0.00021595256,0.65793967,0.65793967,1,1,0,1.047619,
SPY_absolute252_rf_5bps,ETF trend,actual ETF snapshot,5bps_rf,SPY,absolute/252,next session close,EXPLORATORY,True,2008_2009,2008-01-02,2009-12-31,505,0.020510012,0.060223766,0.21046288,0.29379896,-0.10594353,0.19359381,0.030061312,0.1731492,0.12666325,0.074157058,0.41666667,2008,-0.029755351,2009,0.073465948,0.99777042,0.49888521,0.00050289924,0.12475248,0.12475248,0,1,1,,
SPY_absolute252_rf_5bps,ETF trend,actual ETF snapshot,5bps_rf,SPY,absolute/252,next session close,EXPLORATORY,True,2010_2019,2010-01-04,2015-12-31,1510,0.11162731,0.15713136,0.75231664,1.0573289,-0.1860547,0.5999704,0.98847999,0.99405997,-0.017159796,-0.015464881,0.625,2015,-0.076443567,2013,0.32307759,0.33369143,0.16684572,0.00016706344,0.98543046,0.98543046,0,1,1,,
SPY_absolute252_rf_5bps,ETF trend,actual ETF snapshot,5bps_rf,SPY,absolute/252,next session close,EXPLORATORY,True,dotcom,2001-01-03,2002-12-31,499,0.0051174836,0.036481629,-0.69363168,-0.87554776,-0.067667986,0.075626363,0.022199624,0.14851622,0.16711997,0.15290211,0.95833333,2002,-0.025849272,2002,-0.025849272,1.0097677,0.50488383,0.00050799925,0.044088176,0.044088176,1,0,0,1.047619,
SPY_absolute252_rf_5bps,ETF trend,actual ETF snapshot,5bps_rf,SPY,absolute/252,next session close,EXPLORATORY,True,gfc,2008-01-02,2008-12-31,253,-0.029639502,0.066664262,-0.70022408,-0.89417681,-0.10594353,-0.27976698,0.025747383,0.1597401,0.33716328,0.34424385,0.66666667,2008,-0.029755351,2008,-0.029755351,0.99604743,0.49802371,0.00050603591,0.083003953,0.083003953,0,0,1,,
SPY_absolute252_rf_5bps,ETF trend,actual ETF snapshot,5bps_rf,SPY,absolute/252,next session close,EXPLORATORY,True,rebound2009,2009-01-02,2009-12-31,252,0.073465948,0.052923071,1.3659986,2.2887982,-0.01715463,4.2825725,0.038629826,0.19440425,-0.19005161,-0.19700151,0.16666667,2009,0.073465948,2009,0.073465948,0.99950025,0.49975012,0.00049975013,0.16666667,0.16666667,0,1,0,,
stocks_mom252_n20_monthly_liq5e+07_15bps,stock momentum,survivor stock snapshot,15bps,SPY,"(252,);n=20;monthly;liq=50000000",next session close,EXPLORATORY,True,full,2004-01-05,2012-08-31,2183,0.084273581,0.2079604,0.40835332,0.57009223,-0.48037761,0.17543195,0.8914402,0.91708381,0.036076287,0.032654967,0.68269231,2008,-0.28554936,2007,0.22805591,5.50727,2.753635,0.008270695,0.99129638,19.825928,430,20,0,4.5468439,
stocks_mom252_n20_monthly_liq5e+07_15bps,stock momentum,survivor stock snapshot,15bps,SPY,"(252,);n=20;monthly;liq=50000000",next session close,EXPLORATORY,True,2000_2007,2004-01-05,2007-12-31,1005,0.18278286,0.15373091,0.95051734,1.3737392,-0.14056121,1.3003791,1.1356235,0.89162463,0.092011939,0.085547565,0.72916667,2005,0.15544653,2007,0.22805591,5.0961831,2.5480916,0.0076727282,0.98109453,19.62189,177,20,0,4.6833468,
stocks_mom252_n20_monthly_liq5e+07_15bps,stock momentum,survivor stock snapshot,15bps,SPY,"(252,);n=20;monthly;liq=50000000",next session close,EXPLORATORY,True,2008_2009,2008-01-02,2009-12-31,505,-0.10617554,0.29142762,-0.27185986,-0.37488384,-0.48037761,-0.22102517,0.78025934,0.93130491,-2.2302817e-05,-0.017757255,0.58333333,2008,-0.28554936,2009,0.11773486,6.2549248,3.1274624,0.0093539911,1,20,89,20,20,3.3274478,
stocks_mom252_n20_monthly_liq5e+07_15bps,stock momentum,survivor stock snapshot,15bps,SPY,"(252,);n=20;monthly;liq=50000000",next session close,EXPLORATORY,True,2010_2019,2010-01-04,2012-08-31,673,0.10074906,0.20321012,0.57429344,0.79489071,-0.19632561,0.51317329,1.0236435,0.95607838,-0.012349301,-0.0085023713,0.6875,2011,0.049991747,2010,0.1400568,5.5601326,2.7800663,0.0083507724,1,20,115,20,20,3.4604555,
stocks_mom252_n20_monthly_liq5e+07_15bps,stock momentum,survivor stock snapshot,15bps,SPY,"(252,);n=20;monthly;liq=50000000",next session close,EXPLORATORY,True,gfc,2008-01-02,2008-12-31,253,-0.28459922,0.35929293,-0.80498646,-1.1009456,-0.38449367,-0.7401922,0.82043079,0.94293757,0.082203561,0.1017271,0.41666667,2008,-0.28554936,2008,-0.28554936,5.1617985,2.5808993,0.0076702596,1,20,22,20,20,2.7445887,
stocks_mom252_n20_monthly_liq5e+07_15bps,stock momentum,survivor stock snapshot,15bps,SPY,"(252,);n=20;monthly;liq=50000000",next session close,EXPLORATORY,True,rebound2009,2009-01-02,2009-12-31,252,0.11773486,0.20151584,0.6529442,0.92502881,-0.26525773,0.44385081,0.68507205,0.90543045,-0.1457827,-0.13771575,0.75,2009,0.11773486,2009,0.11773486,7.3523889,3.6761945,0.011044404,1,20,41,20,20,2.3855981,
